"math","studteachr","income","lunch","english","expenditure","teach20"
653.1,21.0372,14.058,29.1987,10.4356,4746.5723,1
654.6,19.9246,19.068,30.7692,2.2699,4944.0923,0
651.5,19.0099,20.77,38.2002,28.2479,6306.4873,0
653.7,23.8222,10.264,28.1716,8.7687,4260.3066,0
653.3,19.3691,14.578,28.6645,7.4919,4718.1631,0
652.1,19.8286,10.202,53.6023,9.7983,4751.2998,0
651.8,15.2589,12.502,63.6905,12.5,5653.4536,0
651.3,17.1613,13.906,29.6435,0,5920.2534,0
656.8,21.8133,9.986,76.7726,31.2042,4825.5908,0
650.6,19.0747,13.712,40.9291,1.3692,5532.582,0
648.6,25.7851,10.098,47.8528,9.6154,3926.0696,0
653.5,18.2126,11.291,62.2675,0,5805.6367,0
656.5,18.1661,13.225,41.0546,24.2573,4899.2397,0
655.5,16.973,13.63,10.1266,9.5541,4884.8623,0
656.2,21.5009,14.623,25.8885,5.9253,5139.9375,0
647.6,20.6,8.776,23.301,0.9709,5249.3647,0
660.1,16.9903,10.338,70.2857,18.2857,5399.0703,0
652.7,20.7795,16.323,23.4409,4.9843,4965.29,0
649.7,15.5125,10.6563,56.5217,4.2857,6210.3232,0
649.6,19.8851,14.578,12.5741,3.3526,4797.5034,0
655.2,21.3988,18.6306,21.3434,32.7075,5397.1616,0
657.7,20.4975,11.116,60.9223,9.466,5078.5,0
653.1,19.3638,14.5977,36.89,6.2608,4733.7466,0
657.6,17.6596,15.493,34.0361,13.253,4963.0601,0
649.1,21.018,16.272,34.4471,3.1691,5431.1772,0
659.8,19.0556,13.63,36.6372,16.9911,5382.0889,0
649.6,22.5385,12.394,37.884,0.8532,5724.4419,0
655.8,21.1079,15.331,34.2344,6.6496,4843.4272,0
658.7,20.0514,12.666,40.163,0.1164,5730.3491,0
655.2,14.2018,13.712,20,0,5635.7861,0
654.4,18.4769,17.7803,19.5686,6.9337,5671.6572,0
657.9,18.6354,10.5567,56.0089,9.5584,7070.6333,0
651.9,20.9459,10.523,61.4194,0.9032,5097.3433,0
650.2,21.0855,13.243,39.8487,1.1583,5482.6772,0
656.9,18.6929,22.473,49.4269,40.108,5642.832,0
656.4,20.8681,15.6847,50.9708,16.6632,5280.0234,1
656.7,19.8256,23.4837,32.1368,21.9554,5433.3398,0
653.3,19.75,11.649,25.3165,8.8608,4529.2837,0
649.9,19.5,16.356,36.1345,0.8547,6039.9858,0
642.2,18.3908,14.074,36.7816,0,6168.2295,0
650.9,18.7868,13.437,51.8519,3.9139,5774.9702,0
655.6,19.7702,18.338,25.5596,11.9495,4806.7617,0
655.3,19.3333,11.426,51.5625,3.9927,4840.936,0
660.5,21.4639,15.7499,37.2911,22.9395,4954.4663,0
657.3,23.0849,15.779,17.1508,2.4856,4023.5317,0
659,21.063,14.062,32.6519,9.8715,5179.4111,0
652.7,18.6869,12.174,36.3144,0.5405,4385.2295,0
662.5,20.7702,12.9,26.9433,8.9566,4777.5127,0
656.3,19.3056,10.971,29.4964,6.4748,4862.7905,0
663.2,20.1328,17.4352,32.7655,20.7254,5486.0298,0
656.2,20.6696,14.76,36.7978,0.1873,5486.3823,0
660.4,22.2816,14.603,31.3709,13.9869,4631.2437,0
656,20.6003,13.5223,37.1086,8.7417,5189.6279,0
658.8,20.8273,16.669,31.5,20.0345,4600.6064,0
658.8,19.2249,13.5223,33.6301,1.3834,6735.7754,0
659.4,17.6548,12.518,47.1247,2.0627,5475.1729,0
658.4,17,18.326,33.6,28.5714,5990.7944,0
647.1,16.4977,11.466,30.678,0.1695,7203.2466,0
660.6,19.7826,10.098,54.7619,13.7363,4777.769,0
652.8,22.3022,15.365,21.2687,0,4302.835,0
654.6,17.7308,10.3113,48.8121,0.2169,5630.1948,0
659.8,20.4484,16.9866,22.693,3.121,4708.625,0
661.6,20.3717,9.612,66.2069,47.3684,5629.9614,0
660.9,20.1648,21.1105,15.6559,22.7097,4890.9868,0
664.1,21.6154,16.4733,30.4417,29.1207,4929.3931,0
650.8,20.5614,18.369,21.3793,4.4326,4905.2212,0
663.6,19.9555,16.6541,31.0189,4.8142,5156.8569,0
658.3,21.1839,18.5442,18.3878,5.2492,4941.7876,1
661,18.8104,14.18,42.4468,1.8994,5408.7817,1
659.5,20.5784,18.0296,30.0691,8.6629,4981.3877,0
661.3,18.3246,13.586,0,10.4762,4877.0864,0
663.5,18.8206,12.64,42.6009,1.2422,5111.7393,0
661.7,20.8163,11.103,45.8824,0,5201.5156,0
673.4,20,7.5,56.875,9.375,4138.3057,0
659.5,19.6818,15.506,25.1037,1.3857,5743.5972,0
661.5,19.3902,22.8414,44.3907,35.3421,5702.7051,0
663.4,20.9273,19.8231,27.3545,9.6407,4802.1528,0
655.7,19.9444,16.347,24.7222,2.2315,5442.1431,0
667,20.7911,16.293,14.8509,0.3664,4522.3755,0
663,19.2035,13.248,29.8387,0.576,4965.8081,0
658.4,19.0244,14.01,37.0874,0,5358.3262,0
657.5,17.6206,14.163,25.6055,0.8516,5784.625,0
659.3,20.2372,15.771,20.9263,5.5246,5072.7046,0
662.6,19.2937,14.4833,35.8462,0,5556.041,0
666.8,18.83,14.209,26.2136,0,5190.3101,0
661.3,20.3395,15.167,36.4845,2.4372,5211.4854,0
668.3,19.229,12.5843,43.2165,20.7668,5284.1641,0
670.1,17.8913,10.551,55.2855,2.1871,5331.9209,0
661.8,19.5188,16.956,13.3692,13.6262,5599.6079,0
659.3,19.0845,17.709,25.4296,13.2841,4881.8994,0
657,19.9355,16.272,32.6861,1.9417,4700.4321,0
661.6,18.8733,17.9008,33.8103,23.0616,5650,0
654.6,20.1418,11.834,47.3054,0.6211,5318.2407,1
665.4,23.5564,18.6202,15.9299,3.2555,4709.0542,0
665.8,21.4648,12.431,30.3732,0,5143.1904,0
663.9,19.191,15.167,29.0398,2.2248,5133.0098,0
665.8,20.1308,20.8757,30.6437,18.5584,5081.4556,0
662.3,25.8,10.639,50.3876,6.2016,4016.4163,0
664,18.7777,25.0296,28.3766,18.4575,5374.0503,0
663.4,19.1098,16.7578,31.0828,32.0726,5427.5488,0
674.2,19.7011,15.297,30.1724,3.9655,5179.6445,0
660.9,18.6159,17.3694,24.7471,15.3367,5400,0
667.4,20.9972,22.096,36.0007,27.6652,5726.1465,0
661.5,20,22.842,13.8696,12.5373,5003.8701,0
667.4,20.9833,18.3199,45.7234,12.6802,4969.5112,0
664,21.6426,25.03,15.0886,6.908,4747.2959,0
663.4,20.0297,21.957,31.8519,14.963,4543.3052,0
665.3,19.8114,18.7968,24.6035,11.2693,5229.5913,0
660.4,18,10.639,44.4444,9.7222,4507.353,0
661.3,19.3581,17.508,15.2098,3.3159,5302.6279,0
664.1,20.1791,18.593,18.4941,0.6935,5545.6104,0
661.9,21.1199,11.116,22.8831,5.1411,4615.9087,0
669.5,23.3897,14.0977,22.9839,4.9692,5397.6895,0
661.2,22.1818,12.64,40.1639,6.9672,5118.373,0
665.8,19.9428,20.9364,13.2762,7.9961,5008.0708,0
671.3,17.7883,14.18,32.6087,0.4819,4906.0303,0
666.8,14.7059,11.826,53.5032,2.5,6870.3462,0
662.4,19.0408,18.671,20.581,3.8413,5301.7163,0
666.6,20.892,17.332,16.0651,1.3204,5182.3657,0
664.6,19.8385,17.508,19.8302,4.9123,4999.4688,0
662.7,19.5219,15.572,13.0612,0,6732.0664,0
667.9,20.6862,15.5673,8.6731,0.2224,4612.9897,0
666,18.1818,15.752,29.8643,0,5478.8457,0
666.6,18.8922,20.47,23.642,17.8541,5666.7139,0
675.7,24.8889,9.709,35.2679,4.4643,4742.5142,0
671,18.5806,11.116,28.125,9.5486,4907.3926,0
664.5,18.04,16.321,11.7517,3.9911,5700.4023,0
668.5,17.734,21.967,24.3363,20.6667,5191.8345,1
669.1,21.4545,8.934,51.6667,7.6271,4451.2568,0
671.6,19.9234,19.997,42.964,27.4537,5627.5278,0
672.4,20.3394,18.8272,19.3725,10.8576,4922.9399,0
672.1,22.5461,18.1187,16.9543,5.0257,4969.3809,0
669.7,21.1034,23.6674,30.0851,14.2362,4829.7173,0
657.7,18.1974,22.139,15.3302,0.2358,6716.6929,0
665.4,20.1077,20.546,23.0989,2.0707,5205.9419,0
674.1,19.1598,9.485,44.6809,8.5561,4357.8262,0
669.5,19.5455,11.834,27.1318,0,5195.9189,0
666.5,20.8889,18.799,36.7021,4.7872,6002.0718,0
670.7,18.3915,10.551,46.1221,3.9604,5090.5879,0
670.8,19.1799,15.519,19.53,1.5794,5112.3901,0
668.6,19.3977,21.6317,12.1748,3.5939,5287.355,0
671.3,21.6783,21.0958,15.5128,8.7262,4889.48,0
668,19.2889,15.167,19.0092,0,5118.1304,1
668.3,20.3493,19.117,8.3443,0.2641,5119.123,0
671.8,20.9642,17.62,14.266,1.4479,4792.2114,0
665.7,19.4604,15.167,15.9292,0.1475,5450.1035,0
663.6,19.2857,10.643,33.9181,0,5210.7246,0
674.6,20.9198,20.7391,11.7013,3.705,4715.4458,0
670.7,20.9002,21.566,21.0892,0.2685,4632.0684,0
664.2,20.5957,17.656,10.4142,0,5028.5615,0
671.6,19.375,17.709,12.2581,4.5161,5695.4668,0
668,19.9512,27.816,2.0328,2.4448,4504.2949,0
670.2,18.8497,18.593,29.021,0,5156.437,0
676.5,18.1179,14.263,33.9212,0,5433.5142,0
670.1,19.1834,22.758,25.9868,5.4054,5254.6318,0
672.2,22,12.64,12.7451,0,4593.1968,0
675.7,21.5842,11.238,25.1121,6.422,4320.6787,0
669.3,20.3889,16.956,12.8205,6.5395,4920.7773,0
667,16.2931,17.709,32.1244,14.2857,6905.8691,0
671.5,18.2778,25.622,2.4456,3.6788,5729.9043,0
670.5,19.3747,18.726,11.1818,0.5022,4825.2021,0
666.6,18.9091,13.443,32.8638,0,5388.1704,0
676.6,16.4069,15.18,22.1636,22.6913,5133.8271,0
677.3,15.5914,19.117,0,0,5346.1562,0
672.5,18.7069,13.712,23.0548,0.1416,4789.3091,0
669.8,18.3299,17.508,15.75,2.7335,5329.7822,0
668.4,17.9024,11.834,25.3782,1.6835,5371.1729,0
672.2,18.9116,13.273,66.9065,0,5771.3838,0
679.3,20.325,16.356,14.037,0.1436,4993.6348,0
679.9,20.0246,18.626,11.0429,0,4854.0381,0
673.2,24,23.733,27.7132,11.0465,4392.6797,1
681.1,17.6078,12.934,48.4848,0,5884.4321,0
675.5,19.3485,13.906,4.0404,0,4273.9932,0
677.4,19.6785,15.428,21.7803,0.0633,5146.7842,0
673.2,18.7286,15.381,10.1828,0,5351.5229,0
671.5,15.8824,22.529,0,0,7667.5718,0
678.6,20.0549,23.8061,19.0911,15.0599,5281.709,0
674.7,17.9883,24.603,3.7302,1.4796,5368.5029,0
682.2,16.9663,36.174,8.6093,2.649,6429.2573,0
676.2,19.2394,33.455,6.5353,1.4799,5387.459,0
680.8,19.1959,20.4802,19.2308,4.4699,5235.7749,0
679.4,19.5991,20.134,0,0.3264,4829.8965,0
674.4,20.5435,19.3465,10.6515,2.5397,5088.708,0
676.7,18.5885,36.174,0.6775,0.542,5390.1182,0
679.8,15.6042,22.8633,12.9412,11.5854,6588.4307,0
681.8,15.293,17.709,11.4583,11.3772,6196.6948,0
674.7,17.6554,14.177,14.4,0,4645.4131,0
674,17.5798,41.093,0.5367,1.3749,6489.9287,0
682.5,22.3333,21.957,3.7313,2.2388,5094.959,0
684.9,18.75,16.064,29.3185,5.3333,4841.9585,0
679.5,18.1024,25.737,3.622,2.7732,6315.3125,0
678,20.2564,20.474,16.25,0,5399.3833,0
684.3,18.8021,35.81,6.2709,17.7258,5429.4736,0
682.3,18.7723,13.567,11.4068,0,5644.2861,0
688.2,20.4052,20.089,9.3525,0,6060.2568,0
680.2,18.6508,18.283,5.9322,0.4255,5319.5537,0
687.4,20.7071,25.2397,7.8593,6.0671,4819.9038,0
683.7,22,25.063,12.5,10.1276,5208.2261,0
679.9,17.6998,30.6285,1.8987,3.3755,5859.9648,0
690.3,21.4833,27.4752,4.6909,8.6485,4962.7368,0
681.3,16.701,30.84,20.4819,12.3457,7614.3794,0
686.6,19.5757,34.1595,2.7921,1.5896,5566.4678,0
688.6,17.2581,43.23,0.72,1.4953,7039.9492,0
695,17.3753,27.9478,9.6774,10.3855,6604.064,0
690.1,17.3493,49.939,3.9175,6.134,6180.1489,0
692,16.2623,55.328,1.4164,2.2663,6460.6572,0
694.9,17.7005,35.481,2.4359,2.4786,6415.355,0
691.7,20.1288,34.301,0.1734,0.8936,5230.877,0
695.3,18.2654,38.6286,2.6116,2.4217,5838.1719,0
689.3,14.5421,35.342,0,3.7657,7711.5068,0
695.7,19.1526,31.052,0.3033,1.9629,5592.7651,0
697.3,17.3657,40.264,0.1239,0.578,5933.1543,0
701.1,15.139,35.81,0,2.8073,7593.4058,0
703.6,17.8427,43.23,0,1.3636,6500.4497,0
699.9,15.407,50.677,0,1.1645,7217.2632,0
701.7,18.8653,40.402,0.598,2.0504,5392.6387,0
707.7,16.4741,28.717,3.5569,5.9959,7290.3389,0
709.5,17.8626,41.7341,1.5038,4.7261,5741.4629,0
641.7,21.8859,23.733,37.1938,24.263,4402.8315,0
676.5,20.2,9.952,59.4059,2.9703,4776.3364,0
651,19.0364,12.502,47.5712,5.0056,5993.3926,1
